x,cortante,momento,pendiente,deflexion
1.0625521267723101,99534.214285714,130126.7364470389,0.04371916254057966,-0.34554923459836207
1.0683903252710591,99282.214285714,130707.10133444508,0.04417237674300788,-0.3472788734053727
1.0742285237698082,99030.214285714,131285.99499582956,0.044627605225650145,-0.34900586037802317
1.0800667222685572,98778.214285714,131863.41743119236,0.045084842875822206,-0.35073018377147036
1.085904920767306,98526.214285714,132439.36864053344,0.045544084580839785,-0.3524518318707196
1.091743119266055,98274.214285714,133013.8486238529,0.046005325228018666,-0.3541707929906256
1.097581317764804,98022.214285714,133586.85738115065,0.04646855970467457,-0.3558870554758915
1.103419516263553,97770.214285714,134158.3949124267,0.04693378289812324,-0.3576006077010695
1.109257714762302,97518.214285714,134728.4612176811,0.04740098969568043,-0.3593114380705608
1.1150959132610507,97266.214285714,135297.05629691377,0.04787017498466185,-0.361019535018615
1.1209341117597997,97014.214285714,135864.18015012477,0.04834133365238328,-0.36272488700933114
1.1267723102585487,96762.214285714,136429.8327773141,0.04881446058616046,-0.36442748253665663
1.1326105087572977,96510.214285714,136994.01417848174,0.04928955067330912,-0.3661273101243882
1.1384487072560467,96258.214285714,137556.7243536277,0.04976659880114501,-0.3678243583261711
1.1442869057547955,96006.214285714,138117.96330275197,0.050245599856983854,-0.3695186157254995
1.1501251042535445,95754.214285714,138677.73102585456,0.05072654872814143,-0.3712100709357166
1.1559633027522935,95502.214285714,139236.02752293547,0.051209440301933466,-0.3728987126000144
1.1618015012510425,95250.214285714,139792.85279399468,0.0516942694656757,-0.3745845293914336
1.1676396997497915,94998.214285714,140348.2068390322,0.05218103110668388,-0.376267510012864
1.1734778982485403,94746.214285714,140902.08965804803,0.052669720112273735,-0.377947643197044
1.1793160967472893,94494.214285714,141454.5012510422,0.05316033136976104,-0.37962491770656126
1.1851542952460383,94242.214285714,142005.44161801468,0.053652859766461516,-0.3812993223338519
1.1909924937447873,93990.214285714,142554.91075896547,0.05414730018969091,-0.3829708459012011
1.1968306922435363,93738.214285714,143102.9086738946,0.05464364752676497,-0.38463947726074293
1.2026688907422851,93486.214285714,143649.435362802,0.05514189666499941,-0.3863052052944602
1.2085070892410341,93234.214285714,144194.49082568774,0.05564204249171002,-0.3879680189141848
1.2143452877397831,92982.214285714,144738.0750625518,0.05614407989421253,-0.38962790706159733
1.2201834862385321,92730.214285714,145280.18807339418,0.05664800375982267,-0.39128485870822716
1.2260216847372811,92478.214285714,145820.82985821486,0.057153808975856195,-0.39293886285545265
1.23185988323603,92226.214285714,146360.00041701383,0.057661490429628814,-0.39458990853450104
1.237698081734779,91974.214285714,146897.69974979115,0.058171043008456325,-0.39623798480644845
1.243536280233528,91722.214285714,147433.92785654677,0.05868246159965444,-0.39788308076221984
1.249374478732277,91470.214285714,147968.6847372807,0.05919574109053891,-0.3995251855225889
1.2552126772310257,91218.214285714,148501.97039199295,0.05971087636842546,-0.40116428823817846
1.2610508757297747,90966.214285714,149033.78482068353,0.06022786232062986,-0.40280037808946
1.2668890742285237,90714.214285714,149564.12802335242,0.06074669383446785,-0.404433444286754
1.2727272727272727,90462.214285714,150092.99999999962,0.06126736579725517,-0.4060634760702296
1.2785654712260217,90210.214285714,150620.40075062515,0.061789873096307554,-0.407690462709905
1.2844036697247705,89958.214285714,151146.33027522897,0.06231421061894073,-0.40931439350564713
1.2902418682235195,89706.214285714,151670.78857381112,0.06284037325247048,-0.41093525778717194
1.2960800667222685,89454.214285714,152193.7756463716,0.06336835588421254,-0.41255304491404426
1.3019182652210175,89202.214285714,152715.2914929104,0.06389815340148264,-0.41416774427567754
1.3077564637197665,88950.214285714,153235.33611342747,0.06442976069159652,-0.41577934529133437
1.3135946622185153,88698.214285714,153753.90950792286,0.0649631726418699,-0.41738783741012586
